,fluxes,reduced_costs
GSPMDA,0.0,-215.4861849848494
GSPMDS,0.0,858.0713000669093
GUAD,0.0,1730.5457385438576
THRS,0.1893079312123926,-288.48398286496183
EX_amp_e,0.0,13196.47470367701
HSST,0.05353861885874467,-219.24631001986563
PPNDH,0.06444524577752936,-176.76424111669164
TMAOR1_num1,0.0,-128.0905566109945
TMAOR2,0.0,-46.96937671470181
DGK1,0.0,1241.3358625311976
DTMPK,0.009101958281460787,-34.13720921058575
NDPK1_num1,0.2748098475032453,-95.6787314868634
TRDR_num1,0.08608770310374071,-199.0084896545404
DDPA_num1,0.0,-3.8058071895979566
NMNDA,0.0,61825.79819779731
NNAM,0.0,-181.74772204927922
P5CD,0.0,1264.2336257865882
PGMT_num1,0.0,171.55241905657923
FRUK,0.0,-92.71304595105997
SPMDAT1,0.0,341.15838216353404
RHCCE,0.000155838772074235,-157420.28814778037
EX_dha_e,8.767804164292716,-2.0
KG6PDC_num1,0.0,-0.9245965530717228
SPMDAT2,0.0,514.9852011300736
TDPADGAT,0.0,-80.14957463337944
MALS_num1,0.00015514306327034285,-64.47743474137408
X5PL3E_num1,0.0,353.4844154741971
DOGULNR,0.0,-283.73044454089813
TRE6PP,0.0,781.013241445464
EX_fuc__L_e,0.0,-2.0
EX_met__D_e,0.0,0.0
EX_tartr__L_e,0.0,345.9090052855506
BETALDHx,0.0,-720.8380811938441
BETALDHy,0.0,-883.0277602331935
MLTG3,0.0,-125.65351263329327
EX_taur_e,0.0,-2.0
EX_maltpt_e,0.0,-2.0
EX_glyald_e,0.0,564.3990068777784
EX_glcur_e,0.0,109.5955037352991
ADPRDP_num1,0.0,63021.798896149805
DKGLCNR1_num1,0.0,-243.70652153931402
NADTRHD,0.0,397.955122515079
AACPS2,0.0,-843.14606028395
FMNRx2_num1,0.0,26.25531719234465
ACPS1_num1,0.0,-64.51440174024361
EX_nmn_e,0.0,80279.40232463324
EX_urea_e,0.0,-2.0
ARAI,0.0,-634.7518960026351
M1PD,0.0,-170.21684356240897
G3PD2,0.0,198.81347967107826
GALS3,0.0,-326.7844239805956
FCI,0.0,1763.479564249657
FCLK,0.0,-69.08922795822767
FCLPA_num1,0.0,-84.49503956115501
GMPS2,0.0,813.4530199045216
AMPN,0.0,2578.1717925945304
GSNK,0.0,-124.95627110439821
ACCOAL_num1,0.0,-362.9944071294558
GALUi,0.0,-1069.380968340701
AACPS3,0.0,630.4724334249872
U23GAAT,0.013535710488733555,-75.0461384068158
EX_f6p_e,0.0,401.4554836426852
UAAGDS,0.009666178121425988,-164.1827043069707
AACPS4,0.0,446.7406207713934
UAMAS,0.009666178121425988,-188.3327364917332
UAMAGS,0.009666178121425988,-41.3974443317957
UGLYCH,0.0,-19.403310664644835
NTPP3_num1,0.0,51.16208539121407
NTPP6_num1,0.0,926.1375161746068
NTPP7_num1,0.0,911.219643023524
OP4ENH,0.0,-485.25224802062064
EX_rmn_e,0.0,-2.0
HOPNTAL,0.0,-64.77026308641874
NTPP8_num1,0.0,1202.5016460882443
P5CR,0.07689495482337058,-215.92504212291345
CYANST_num1,0.0,-4.916942512068374
EX_ttdca_e,0.0,43211.418505026726
DHPPDA2,0.00015514306327033217,-6134.1082389881985
3HPPPNH,0.0,-331.31341778779006
G5SADs,0.07689495482337058,-2.0000000000000284
GMAND,0.0,18680.96209390066
PPCSCT,0.0,179.81671849209033
